ID,X,Y,Z,PCI,RSRP(dBm)
31881799,801430.49,349023.72,1.5,2,-90.75751
31881800,801422.47,349012.57,1.5,2,-97.13683
31881801,801426.9,348999.52,1.5,2,-96.7073
31881802,801435.38,348988.39,1.5,2,-97.27416
31881803,801442.21,348976.16,1.5,2,-95.1573
31881804,801447.1,348963.1,1.5,2,-94.76065
31881805,801449.9,348949.39,1.5,2,-93.47013
31881806,801459.63,348939.57,1.5,2,-93.29051
31881807,801472.36,348933.75,1.5,2,-93.66598
31881808,801485.88,348930.24,1.5,2,-93.84748
31881809,801499.81,348928.56,1.5,2,-95.18575
31881810,801582.88,348927.22,1.5,2,-95.90464
31881811,801596.68,348929.6,1.5,2,-96.41423
31881812,801610.5,348931.93,1.5,2,-96.4137
31881813,801624.45,348933.02,1.5,2,-97.39113
31881814,801638.16,348935.71,1.5,2,-96.4363
31881815,801635.74,348927.13,1.5,2,-93.64893
31881816,801628.95,348915.35,1.5,2,-93.53754
31881817,801622.21,348903.31,1.5,2,-94.44441
31881818,801615.49,348891.29,1.5,2,-94.78291
31881819,801613.58,348877.68,1.5,2,-93.73002
31881820,801609.65,348864.48,1.5,2,-92.07595
31881821,801602.57,348852.46,1.5,2,-90.95432
31881822,801596.21,348840.03,1.5,2,-93.12907
31881823,801590.14,348827.6,1.5,2,-91.16965
31881824,801586.13,348815.29,1.5,2,-87.44415
31881825,801580.42,348802.59,1.5,2,-82.9062
31881826,801575.21,348789.66,1.5,2,-82.81084
31881827,801567.25,348779.99,1.5,2,-82.75082
31881828,801558.56,348770.53,1.5,2,-81.91823
31881829,801552.59,348758.09,1.5,2,-81.62555
31881830,801545.89,348745.89,1.5,2,-82.65518
31881831,801541.16,348733.47,1.5,2,-84.18221
31881832,801540.16,348721.57,1.5,2,-82.27454
31881833,801533.92,348709.06,1.5,2,-84.00658
31881834,801528.31,348696.27,1.5,2,-85.41959
31881835,801521.96,348684.4,1.5,2,-84.5341
31881836,801516.32,348672.37,1.5,2,-84.85374
31881837,801511.33,348659.57,1.5,2,-84.07687
31881838,801505.05,348647.71,1.5,2,-84.23215
